contrast,substrate,sludge_source,estimate,SE,df,t.ratio,p.value
0h - 24h,acetate,Bath,0.2650192253775962,0.09197864016323905,17,2.881312714639545,0.02660015725150877
0h - 48h,acetate,Bath,0.5977586598234073,0.09197864016323908,17,6.498885597379296,1.5562336696639534e-5
24h - 48h,acetate,Bath,0.33273943444581106,0.09197864016323905,17,3.6175728827397524,0.00571237475813291
0h - 24h,butyrate,Bath,0.061373526713920934,0.09197864016323908,17,0.6672584700643354,0.7852521591860682
0h - 48h,butyrate,Bath,0.04852702791143759,0.09197864016323908,17,0.527590186431483,0.8589905723789553
24h - 48h,butyrate,Bath,-0.012846498802483342,0.09197864016323908,17,-0.13966828363285236,0.9893099422969807
0h - 24h,acetate,Almere,0.2650192253775962,0.09197864016323905,17,2.881312714639545,0.02660015725150877
0h - 48h,acetate,Almere,0.5977586598234073,0.09197864016323908,17,6.498885597379296,1.5562336696639534e-5
24h - 48h,acetate,Almere,0.33273943444581106,0.09197864016323905,17,3.6175728827397524,0.00571237475813291
0h - 24h,butyrate,Almere,0.061373526713920934,0.09197864016323908,17,0.6672584700643354,0.7852521591860682
0h - 48h,butyrate,Almere,0.04852702791143759,0.09197864016323908,17,0.527590186431483,0.8589905723789553
24h - 48h,butyrate,Almere,-0.012846498802483342,0.09197864016323908,17,-0.13966828363285236,0.9893099422969807
