Kingdom,Phylum,Class,Order,Family,YXIN01,YXIN02,YXIN03,YXIN07,YXIN08,YXIN09,YXIN10,YXIN11,YXIN12,YXIN13,YXIN14,YXIN15,YXIN16,YXIN17,YXIN18,YXIN19,YXIN20,YXIN21,YXIN22,YXIN23,YXIN24,YXIN28,YXIN29,YXIN30
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,1186500,1222900,998200,1753900,1097700,675800,1779300,1701200,1632900,592500,473500,372600,548100,670300,449700,1199000,1112100,1338100,448100,397400,210700,478100,456500,381200
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,776900,428700,884300,756900,1566800,1415900,727100,1241800,512900,110400,168600,1533900,105100,189500,175200,759700,1134000,2432700,80400,107900,228500,205200,558200,543400
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,368700,500800,1117300,471200,295600,221500,432900,356200,182200,899900,585500,412300,941000,973000,663700,189600,141200,175500,784300,576000,393900,422100,484900,377700
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,623500,436000,742200,525500,346400,390100,465300,543800,972300,285300,280300,584000,349300,298400,257100,473000,437500,512800,253900,188300,284500,385100,579600,506000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,530100,600500,1082200,300200,330600,294500,303500,469600,888900,127400,350500,280100,189700,389100,482800,105100,110200,160300,102700,231900,256300,192700,552000,586200
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,322900,116400,251900,86000,105900,107000,86500,98000,175100,128900,244900,580500,129900,169700,230800,63200,51100,72300,82500,153300,362300,137400,276900,252000
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,332200,181100,269400,247800,133300,187400,229500,254200,294300,80900,109600,171300,70300,110800,165700,281200,196900,258700,38800,94800,139700,79000,164500,161100
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,14400,74400,44200,91300,392400,252900,86800,12300,19200,20300,617200,785600,63200,31300,10100,29300,34200,107700,43500,349700,737800,41100,21600,15500
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,28900,39100,54200,242000,63400,40600,237300,123400,144600,230800,86500,32800,311400,300000,180900,436100,232800,157300,244100,98000,45700,107800,138300,114300
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,55300,163000,93000,88300,26300,9600,83200,160900,165500,175200,211600,48800,188600,249800,78800,81800,114400,67600,161800,285200,225800,93600,130500,109300
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,62100,64700,77000,101800,41700,36000,104200,78900,105100,143500,98500,84300,138600,178700,131700,171700,114800,117100,105000,106900,77500,92600,238600,236800
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,92400,71800,56300,48600,33000,13400,42500,81400,92800,178600,63200,43400,201200,209100,154100,41000,54000,173100,183800,110700,84600,128500,188100,149000
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,173900,124300,192500,133200,122200,113800,129700,139000,170400,17900,10000,19500,19300,28100,19800,202600,162300,293500,16000,15800,20100,7300,22200,22200
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,213400,55100,82700,24000,3700,8000,19000,12800,72400,24800,8900,29900,37000,28900,8400,23100,17100,49300,30400,11700,4700,16100,525200,597100
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,50900,41400,23700,315100,125100,56400,320400,133800,82800,5500,4300,5300,7000,7000,3200,350500,94600,86700,4700,3700,3100,14400,9200,7100
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,17000,14900,30300,13900,105000,69600,15200,15800,67300,7800,65900,403100,8600,53700,14500,7900,309400,394000,6400,20100,49700,10900,12500,11200
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Family of Chitinophagales,21100,55500,35900,79800,27600,6600,82100,40600,13800,138600,45100,19100,191600,142800,48300,65200,39300,26400,137800,49400,21800,145500,114200,81200
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,31900,9100,26200,11700,202300,440800,2100,11900,148000,2000,97300,326300,3900,5900,27600,1500,4300,28200,900,47100,159600,2400,19400,18100
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,123600,117200,116100,165300,18000,25200,170500,173600,27400,17400,5400,5000,19000,23300,10900,117300,81600,44600,17200,9600,1700,53500,133700,135000
Bacteria,Bacteroidota,SJA-28,SJA-28,SJA-28,16300,9700,12000,50200,32300,44300,48300,46600,99600,91600,68400,54300,89300,112000,80400,59500,37000,37800,74800,49900,39400,82300,195500,180300
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,167000,44400,77800,42200,82400,65900,41900,68700,172300,40500,44200,33300,35000,53900,54200,21400,23400,72600,18700,45700,43800,43200,85600,86400
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,34300,25600,127900,15500,37000,351900,11900,20600,37700,18100,35000,394000,15600,19300,25600,4900,4100,23000,7100,11300,81100,19000,48100,44600
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,4000,2500,2900,7600,8900,947300,3100,3900,20000,2400,16800,278300,700,2000,0,3200,7800,5100,1300,5900,68300,1200,3100,2900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,9400,7300,7100,7600,2800,3900,4400,3700,8700,25700,131700,164500,38400,107800,145900,2200,2900,2800,25300,152700,190800,21700,81800,85700
Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,12400,17200,16000,22500,12000,10900,13800,11300,38900,231900,14200,6000,226700,120800,14100,13700,7000,8300,196800,27100,5400,75500,18600,6100
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,27300,13300,8200,101200,31300,32800,101600,54100,42200,64500,89300,52100,52400,68700,31100,59300,29500,29000,39700,65200,32600,24400,35000,30100
Bacteria,Planctomycetota,OM190,OM190,OM190,46600,41300,45800,38400,18800,5200,39100,33900,32100,89700,38400,15100,84900,78100,68600,133300,47300,27700,40700,33000,14300,33500,37100,30800
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,22900,13200,13800,52300,14000,6800,47800,23600,18600,82800,46700,38100,92500,67500,50000,53300,18400,9600,65800,43600,41800,92600,67700,42500
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,22500,27500,33700,112800,53700,13100,103300,240800,24600,1100,1100,2200,1300,3500,2400,111600,154900,66900,700,0,0,1000,1800,1300
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,37300,17400,18500,39200,56500,32000,43300,40700,27400,57100,43300,51300,50100,53300,43400,34300,18200,32100,34200,53500,48200,31900,43900,39000
Bacteria,Bacteroidota,Bacteroidia,Order of Bacteroidia,Family of Bacteroidia,2100,8300,6900,6700,2500,3100,5100,5300,6000,52800,54100,90400,62300,77500,74700,14900,6600,6900,44800,63000,98300,52300,64500,50900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinimonadaceae,2400,7000,5100,17600,27400,9400,18300,16100,16800,41500,125800,49600,80500,69200,40800,8800,5000,7800,34900,125200,50500,38500,33100,25500
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,26800,43000,20400,71700,10300,4900,71300,44900,72700,50200,21400,6400,58100,51500,23300,42500,14700,6200,31800,13200,4900,34500,33900,24300
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,20700,5600,9100,20200,9400,5300,16300,9000,13200,44400,38200,23500,53300,56700,47900,21900,10100,6300,31500,26800,16300,50200,119900,110700
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,71500,24000,90100,37300,30900,32000,32700,35000,62800,11800,18300,25000,9900,18400,33400,30600,27000,39300,9100,12000,20500,7500,43200,37600
