Kingdom,Phylum,Class,Order,Family,Genus,YXIN01,YXIN02,YXIN03,YXIN07,YXIN08,YXIN09,YXIN10,YXIN11,YXIN12,YXIN13,YXIN14,YXIN15,YXIN16,YXIN17,YXIN18,YXIN19,YXIN20,YXIN21,YXIN22,YXIN23,YXIN24,YXIN28,YXIN29,YXIN30
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,776900,427000,882400,750100,1564800,1414800,719000,1238400,511900,107900,167400,1533200,100800,186900,174100,753600,1130800,2431000,77700,107500,228500,194400,553600,541300
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Genus of Saprospiraceae,277200,371300,777700,364100,207500,134300,337300,266700,143700,761100,459500,276700,800300,800800,506600,168500,118000,130700,675200,421600,262800,382500,378400,278200
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,482900,289700,488000,371000,255600,292500,326500,398100,735800,152200,174800,246400,176400,186100,180200,313300,308000,395900,125200,107300,165300,202200,363000,336400
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ferribacterium,551400,368100,156000,987600,43900,14500,1001000,437400,157800,10400,10200,11500,9900,25700,10500,620300,680600,653400,6800,9500,7900,11900,9200,8900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of Comamonadaceae,351300,200100,377500,119800,235100,220700,120700,285000,605200,66700,214600,224100,102600,229200,189100,61300,83300,122400,69200,177000,216500,133400,372300,392900
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,332200,181100,269400,247800,133300,187400,229500,254200,294300,80900,109600,171300,70300,110800,165700,281200,196900,258700,38800,94800,139700,79000,164500,161100
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,322400,322600,455500,194900,78300,15400,205800,601300,485800,11200,35900,41600,10500,71500,133000,91500,107300,231400,7200,25000,21100,9100,88200,107800
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Genus of Anaerolineaceae,28900,39100,54200,242000,63400,40600,237300,123400,144300,227800,80400,29700,308100,295200,177100,436100,232800,157300,241200,93800,40600,106500,137800,113500
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,7900,11700,27400,18400,391200,252300,9600,9000,19200,6900,612500,784100,7700,12900,5500,4500,30100,107700,5400,346600,737800,4400,4400,6600
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Genus of Rhodocyclaceae,136500,322100,190800,263900,37900,17800,260800,137300,60100,186400,131100,89100,162400,206100,93000,249700,96900,36100,159900,125400,58600,144900,106300,73000
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,55300,163000,93000,88300,26300,9600,83200,160900,165500,175200,211600,48800,188600,249800,78800,81800,114400,67600,161800,285200,225800,93600,130500,109300
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,79800,45700,62300,86300,652400,557200,88800,213800,486800,4100,18100,30900,4100,16400,15500,119900,103800,203000,3100,18000,20000,4900,12800,18300
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,64300,129900,100000,148700,244300,48400,151000,269200,397300,80600,84200,56600,59700,112200,67400,67300,99900,186400,38300,67900,37600,73100,88300,75900
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,AKYH767,62100,64700,77000,101800,41700,36000,104200,78900,105100,143500,98500,84300,138600,178700,131700,171700,114800,117100,105000,106900,77500,92600,238600,236800
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,37-13,92400,71800,56300,48600,33000,13400,42500,81400,92800,178600,63200,43400,201200,209100,154100,41000,54000,173100,183800,110700,84600,128500,188100,149000
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,46200,22200,74400,33200,56700,74900,33900,35300,67100,72900,190300,522600,74300,91400,129000,30100,18500,27900,56800,95800,304400,89400,159900,143000
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,167700,119600,187600,123400,118100,109400,119400,131700,166700,4800,5000,10100,6700,10400,7700,184800,153100,286600,4100,5800,7000,5600,8600,8600
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,213400,55100,82700,24000,3700,8000,19000,12800,72400,24800,8900,29900,35600,28900,8400,23100,17100,49300,29800,11700,4700,15100,524800,597100
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,113500,62700,123700,97100,59400,45900,86800,95200,204900,31700,53400,78500,35600,43700,48400,117500,98600,90000,24500,44000,92600,30000,91700,89700
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,51900,97100,282200,63300,56400,42600,55900,60500,23900,79000,95900,116400,79700,104900,110000,4600,5300,8000,60000,106200,95600,18800,76600,70400
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Genus of Hydrogenophilaceae,50900,41400,23700,315100,125100,56400,320400,133800,82800,5500,4300,5300,7000,7000,3200,350500,94600,86700,4700,3700,3100,14400,9200,7100
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,17000,14900,30300,13900,105000,69600,15200,15800,67300,7800,65900,403100,8600,53700,14500,7900,309400,394000,6400,20100,49700,10900,12500,11200
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Family of Chitinophagales,Genus of Chitinophagales,21100,55500,35900,79800,27600,6600,82100,40600,13800,138600,45100,19100,191600,142800,48300,65200,39300,26400,137800,49400,21800,145500,114200,81200
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,116100,195900,367200,35600,51100,26800,38400,108500,183800,32700,74400,17000,56400,61200,49600,8700,9200,7500,13000,18300,8500,23200,55000,68200
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,123600,117200,116100,165300,18000,25200,170500,173600,27400,17400,5400,5000,19000,23300,10900,117300,81600,44600,17200,9600,1700,53500,133700,135000
Bacteria,Bacteroidota,SJA-28,SJA-28,SJA-28,SJA-28,16300,9700,12000,50200,32300,44300,48300,46600,99600,91600,68400,54300,89300,112000,80400,59500,37000,37800,74800,49900,39400,82300,195500,180300
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella,4000,1600,1900,5900,6700,946600,1800,1400,5000,2400,15500,275000,700,2000,0,1400,1700,1300,1300,4900,67600,1200,1800,1300
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Genus of Rhodobacteraceae,23200,4300,22700,9400,181600,369700,2100,8600,117600,2000,80700,275500,3900,1800,23500,1500,3400,20600,900,41800,137000,2400,9200,8100
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,9400,7300,7100,7600,2800,3900,4400,3700,8700,25700,131700,164500,38400,107800,145900,2200,2900,2800,25300,152700,190800,21700,81800,85700
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,27300,13300,8200,101200,31300,32800,101600,54100,42200,64500,89300,52100,52400,68700,31100,59300,29500,29000,39700,65200,32600,24400,35000,30100
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,5600,13200,9900,38800,12300,5700,40000,15700,19000,91600,61700,31400,121500,91400,51900,30600,10500,3500,109200,59900,24100,118800,73000,43800
Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,46600,41300,45800,38400,18800,5200,39100,33900,32100,89700,38400,15100,84900,78100,68600,133300,47300,27700,40700,33000,14300,33500,37100,30800
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,16200,5400,56200,6600,28200,344300,3100,12000,24900,2200,27700,389900,700,2000,2600,2000,2800,22100,1000,5900,77500,1600,5200,4700
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Genus of Chitinophagaceae,18200,56400,76100,35300,11900,4600,30400,26700,11300,79700,38300,13400,94600,49700,18000,25000,15000,10600,81700,30800,17800,108700,98800,67600
Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Leptospira,7200,10400,9400,16500,3200,1100,8100,4400,15500,224200,6900,3100,220000,113300,8500,3800,1100,1500,190100,24600,2200,73100,16000,4500
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,16700,16200,26200,103300,52000,13100,95700,237500,23100,1100,1100,2200,1300,3500,2400,108900,153200,65900,700,0,0,1000,1800,1300
Bacteria,Bacteroidota,Bacteroidia,Order of Bacteroidia,Family of Bacteroidia,Genus of Bacteroidia,2100,8300,6900,6700,2500,3100,5100,5300,6000,52800,54100,90400,62300,77500,74700,14900,6600,6900,44800,63000,98300,52300,64500,50900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinimonadaceae,Chitinivorax,2400,7000,5100,16300,27400,9400,18300,15300,16800,36800,125800,49600,80500,69200,40800,8300,3600,6000,34400,125200,50500,38500,33100,25500
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Genus of Sphingomonadaceae,93200,12200,14300,20600,56900,27600,18300,33800,150700,18500,23900,19300,12300,28400,29200,7800,12800,56000,8400,24300,29000,17600,34200,36800
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Candidatus_Accumulibacter,13200,11600,6400,19600,5500,2300,18000,16700,13600,112700,48000,24100,63800,87400,54500,9500,8500,6100,32000,48200,16800,36500,45100,38500
Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriales,Kapabacteriales,4900,8300,7600,13500,2600,1700,9100,2000,4500,32300,11000,6100,48900,53900,38300,44900,39900,10100,41800,63400,31500,23500,92800,92000
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,Candidatus_Obscuribacter,8600,13500,14800,35900,14800,9900,30600,16100,32200,52100,34600,26600,56400,44400,24500,29700,13000,6900,45600,18600,17900,41900,45200,40400
Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Candidatus_Competibacter,2100,400,1800,4400,1800,0,2200,0,4300,105400,53200,39500,57000,138300,57500,1000,900,1600,34200,52300,36800,22600,24000,26100
